task,feature_group,feature_count,feature_names,cv,target_folds,eligible_rows,oof_rows,positive_prior,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,selection_rate_at_0_5,uses_gt_at_runtime
A_helpful_vs_harmful,P0,2,sender_score|sender_apce,leave_one_target_out,5,4163,4163,0.4693730482824886,0.33706334419581563,0.36141456750092626,0.34780361757105943,0.3444216990788127,0.46480903194811435,False
B_replace_local,P0,2,sender_score|sender_apce,leave_one_target_out,5,26996,26996,0.07238109349533264,0.47363423307594515,0.07173308223239105,0.0,0.0,0.0,False
A_helpful_vs_harmful,P1,7,sender_score|sender_apce|prompt_topk_score_mean|prompt_topk_score_std|prompt_topk_score_min|prompt_topk_score_max|prompt_top1_top8_gap,leave_one_target_out,5,4163,4163,0.4693730482824886,0.343782854452776,0.3669732421036981,0.35514541387024606,0.3249744114636643,0.42949795820321884,False
B_replace_local,P1,7,sender_score|sender_apce|prompt_topk_score_mean|prompt_topk_score_std|prompt_topk_score_min|prompt_topk_score_max|prompt_top1_top8_gap,leave_one_target_out,5,26996,26996,0.07238109349533264,0.5117534170025269,0.07699023413052458,0.0,0.0,0.0,False
A_helpful_vs_harmful,P2,13,sender_score|sender_apce|prompt_topk_score_mean|prompt_topk_score_std|prompt_topk_score_min|prompt_topk_score_max|prompt_top1_top8_gap|prompt_norm_mean|prompt_norm_std|prompt_pairwise_cos_mean|prompt_pairwise_cos_std|prompt_pairwise_cos_min|prompt_pairwise_cos_max,leave_one_target_out,5,4163,4163,0.4693730482824886,0.36375488661116034,0.38596148882392506,0.3611388611388611,0.37001023541453426,0.48090319481143406,False
B_replace_local,P2,13,sender_score|sender_apce|prompt_topk_score_mean|prompt_topk_score_std|prompt_topk_score_min|prompt_topk_score_max|prompt_top1_top8_gap|prompt_norm_mean|prompt_norm_std|prompt_pairwise_cos_mean|prompt_pairwise_cos_std|prompt_pairwise_cos_min|prompt_pairwise_cos_max,leave_one_target_out,5,26996,26996,0.07238109349533264,0.5838051336804322,0.10142865347862264,0.0,0.0,0.0,False
A_helpful_vs_harmful,P3,18,sender_score|sender_apce|prompt_topk_score_mean|prompt_topk_score_std|prompt_topk_score_min|prompt_topk_score_max|prompt_top1_top8_gap|prompt_norm_mean|prompt_norm_std|prompt_pairwise_cos_mean|prompt_pairwise_cos_std|prompt_pairwise_cos_min|prompt_pairwise_cos_max|set_cos_mean|set_cos_max|sender_to_receiver_best_mean|receiver_to_sender_best_mean|symmetric_best_match,leave_one_target_out,5,4163,4163,0.4693730482824886,0.41948148288869436,0.44700112145425897,0.3957654723127036,0.49744114636642783,0.5899591640643767,False
B_replace_local,P3,18,sender_score|sender_apce|prompt_topk_score_mean|prompt_topk_score_std|prompt_topk_score_min|prompt_topk_score_max|prompt_top1_top8_gap|prompt_norm_mean|prompt_norm_std|prompt_pairwise_cos_mean|prompt_pairwise_cos_std|prompt_pairwise_cos_min|prompt_pairwise_cos_max|set_cos_mean|set_cos_max|sender_to_receiver_best_mean|receiver_to_sender_best_mean|symmetric_best_match,leave_one_target_out,5,26996,26996,0.07238109349533264,0.5745422204514226,0.09691986346693895,0.0,0.0,3.7042524818491625e-05,False
A_helpful_vs_harmful,P4,25,sender_score|sender_apce|prompt_topk_score_mean|prompt_topk_score_std|prompt_topk_score_min|prompt_topk_score_max|prompt_top1_top8_gap|prompt_norm_mean|prompt_norm_std|prompt_pairwise_cos_mean|prompt_pairwise_cos_std|prompt_pairwise_cos_min|prompt_pairwise_cos_max|set_cos_mean|set_cos_max|sender_to_receiver_best_mean|receiver_to_sender_best_mean|symmetric_best_match|branch_score|branch_apce|local_branch_center_displacement|local_branch_scale_difference|residual_norm|relative_residual_norm|residual_scale,leave_one_target_out,5,4163,4163,0.4693730482824886,0.44364220438116514,0.4346405401062414,0.4401515151515151,0.5946775844421699,0.634158059092001,False
B_replace_local,P4,25,sender_score|sender_apce|prompt_topk_score_mean|prompt_topk_score_std|prompt_topk_score_min|prompt_topk_score_max|prompt_top1_top8_gap|prompt_norm_mean|prompt_norm_std|prompt_pairwise_cos_mean|prompt_pairwise_cos_std|prompt_pairwise_cos_min|prompt_pairwise_cos_max|set_cos_mean|set_cos_max|sender_to_receiver_best_mean|receiver_to_sender_best_mean|symmetric_best_match|branch_score|branch_apce|local_branch_center_displacement|local_branch_scale_difference|residual_norm|relative_residual_norm|residual_scale,leave_one_target_out,5,26996,26996,0.07238109349533264,0.6694587075289767,0.18361176273426824,0.4879032258064516,0.06192425793244626,0.009186546154985924,False
